Phage,Accession,Protein_ID,Product,Length_aa,Subtype,Module,Depolymerase_Signal,Multidomain_Flag,Confidence,Mechanism,Product_Source,Length_Flag,InterPro_Domain,InterPro_Verdict,Was_S2_No,Evidence,Sequence_MD5,DepoScope_Score,DepoScope_Call,Method_Agreement
MN047438.1,MN047438.1,WHFMPVLH_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',5ff327ae1958,,,
MN336261.1,MN336261.1,GCMGYABF_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
MN336261.1,MN336261.1,GCMGYABF_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
MN336261.1,MN336261.1,GCMGYABF_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
MN336262.1,MN336262.1,YMMDWXVS_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
MN336262.1,MN336262.1,YMMDWXVS_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
MN336262.1,MN336262.1,YMMDWXVS_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
MN336263.1,MN336263.1,HSUIKUOO_CDS_0096,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
MN336263.1,MN336263.1,HSUIKUOO_CDS_0122,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
MN336263.1,MN336263.1,HSUIKUOO_CDS_0123,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
NC_007021.1,NC_007021.1,EFHHZKLU_CDS_0014,tail fiber protein,303,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',0296cd8cbcf8,,,
NC_007021.1,NC_007021.1,EFHHZKLU_CDS_0044,tail fiber protein,121,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, Protein of unknown function (DUF2977), Protein of unknown function DUF2977",uncertain,No,primary keyword: 'tail fiber',b74f9b110b67,,,
NC_007021.1,NC_007021.1,EFHHZKLU_CDS_0045,tail fiber protein,442,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',cf26b5c5746a,,,
NC_007056.1,NC_007056.1,NMAZJLMB_CDS_0019,distal tail protein Dit,310,putative_rbp,host_recognition,none,,putative,extended,product_qualifier,normal,,no_domain,No,extended keyword: 'distal tail protein',d65ba98f090b,,,
NC_007056.1,NC_007056.1,NMAZJLMB_CDS_0023,tail fiber protein,110,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"YomQ N-terminal domain, YomQ, N-terminal domain",uncertain,No,primary keyword: 'tail fiber',97d7f4d000ec,,,
NC_007056.1,NC_007056.1,NMAZJLMB_CDS_0021,tail spike protein,576,tail_spike,both,tailspike_depolymerase,,confirmed,primary,product_qualifier,normal,"N-ACETYLGLUCOSAMINE-1-PHOSPHODIESTER ALPHA-N-ACETYLGLUCOSAMINIDASE, Phosphodiester glycosidase",cell_wall_hydrolase,No,primary keyword: 'tail spike',2005609b572e,,,
NC_019726.1,NC_019726.1,CUEFGUWM_CDS_0003,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',fb7776214584,,,
NC_019726.1,NC_019726.1,CUEFGUWM_CDS_0004,tail fiber protein,123,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',340376f4f5ec,,,
NC_019726.1,NC_019726.1,CUEFGUWM_CDS_0031,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',602dfe9ada2e,,,
NC_021863.1,NC_021863.1,QSBKKNFR_CDS_0058,distal tail protein Dit,311,putative_rbp,host_recognition,none,,putative,extended,product_qualifier,normal,,no_domain,No,extended keyword: 'distal tail protein',6e58f1bd0142,,,
NC_021863.1,NC_021863.1,QSBKKNFR_CDS_0062,tail fiber protein,135,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"Coil, Protein of unknown function (DUF2977), Protein of unknown function DUF2977, consensus disorder prediction",uncertain,No,primary keyword: 'tail fiber',43cfb6d8c8c0,,,
NC_021863.1,NC_021863.1,QSBKKNFR_CDS_0066,tail fiber protein,390,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"consensus disorder prediction, BppU N-terminal domain, BppU, N-terminal",structural_tail,No,primary keyword: 'tail fiber',389d46f2e655,,,
NC_023009.1,NC_023009.1,AFRIGLGK_CDS_0098,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_023009.1,NC_023009.1,AFRIGLGK_CDS_0125,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_023009.1,NC_023009.1,AFRIGLGK_CDS_0126,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',5ff327ae1958,,,
NC_047722.1,NC_047722.1,UBAEUNBB_CDS_0121,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_047722.1,NC_047722.1,UBAEUNBB_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_047722.1,NC_047722.1,UBAEUNBB_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',7bdd73e54115,,,
NC_047723.1,NC_047723.1,IWASFZMS_CDS_0119,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',ec8328107821,,,
NC_047723.1,NC_047723.1,IWASFZMS_CDS_0147,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,No,primary keyword: 'tail fiber',897855a16278,,,
NC_047723.1,NC_047723.1,IWASFZMS_CDS_0148,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,"ORF68-like, C-terminal domain, ORF68, C-terminal",uncertain,No,primary keyword: 'tail fiber',860ebaf3b5c7,,,
NC_047724.1,NC_047724.1,HTXIOXWG_CDS_0122,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
NC_047724.1,NC_047724.1,HTXIOXWG_CDS_0150,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
NC_047724.1,NC_047724.1,HTXIOXWG_CDS_0151,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',860ebaf3b5c7,,,
NC_047725.1,NC_047725.1,DPOXVLIE_CDS_0120,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
NC_047725.1,NC_047725.1,DPOXVLIE_CDS_0148,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
NC_047725.1,NC_047725.1,DPOXVLIE_CDS_0149,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',860ebaf3b5c7,,,
NC_047726.1,NC_047726.1,JAJSQGFZ_CDS_0122,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
NC_047726.1,NC_047726.1,JAJSQGFZ_CDS_0148,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
NC_047726.1,NC_047726.1,JAJSQGFZ_CDS_0149,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',5ff327ae1958,,,
NC_047727.1,NC_047727.1,KTNPVUQI_CDS_0120,tail fiber protein,302,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',ec8328107821,,,
NC_047727.1,NC_047727.1,KTNPVUQI_CDS_0148,tail fiber protein,124,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',897855a16278,,,
NC_047727.1,NC_047727.1,KTNPVUQI_CDS_0149,tail fiber protein,458,tail_fiber,host_recognition,none,,confirmed,primary,product_qualifier,normal,,no_domain,Yes,primary keyword: 'tail fiber',860ebaf3b5c7,,,
